so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-25162-16,"Ofloxacin 0,3%",Mỗi 5 ml chứa: Ofloxacin 15mg,"Chỉ định Ofloxacin
Ofloxacine được chỉ định điều trị những trường hợp nhiễm khuẩn sau:  - Nhiễm trùng đường tiểu có biến chứng và không có biến chứng. - Nhiễm trùng da và mô mềm. - Viêm tuyến tiền liệt. - Bệnh lây truyền qua đường sinh dục như là: nhiễm lậu cầu cấp niệu đạo và cổ tử cung không biến chứng, viêm niệu đạo và cổ tử cung không do lậu cầu. - Viêm phổi do H. influenza hay Streptococcus pneumoniae. - Viêm phế quản mạn tính đợt cấp.",Dung dịch nhỏ mắt,,,https://thuocbietduoc.com.vn/thuoc-53165/ofloxacin-03.aspx
VD-22556-15,Ích mẫu,Ích mẫu,"Chỉ định
- Kinh nguyệt không đều, đau bụng khi hành kinh, khí hư bạch đới, rối loạn kinh nguyệt. - Phục hồi tử cung sau khi sinh, giúp lưu thông khí huyết, da dẻ mịn màng, tươi mát.",Nguyên liệu làm thuốc,,,https://thuocbietduoc.com.vn/thuoc-50132/ich-mau.aspx
VD-28956-18,Vitamin B1 250,Vitamin B1 250 mg,"Chỉ định Vitamin B1
Phòng và điều trị bệnh Beri-beri. Điều trị các trường hợp đau nhức dây thần kinh lưng, hông và dây thần kinh sinh ba( phối hợp với các vitamin B6 và B12); Các trường hợp mệt mỏi, kém ăn, suy dinh dưỡng và rối loạn tiêu hoá.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-58905/vitamin-b1-250.aspx
V673-H12-05,Artesunat,Artesunate,"Chỉ định
- Các thể sốt rét kể cả thể kháng chloroquine. - Ðiều trị cấp cứu sốt rét cấp tính.",Nguyên liệu,,,https://thuocbietduoc.com.vn/thuoc-2405/artesunat.aspx
H02-144-02,"Atropin sulfat 0,25mg/ml",Atropine sulfate,"Chỉ định Atropine sulfate
Atropin và các thuốc kháng muscarin được dùng để ức chế tác dụng của hệ thần kinh trung ương đối giao cảm trong nhiều trường hợp: Rối loạn bộ máy tiêu hóa. Loét dạ dày – hành tá tràng: Ức chế khả năng tiết acid dịch vị. Hội chứng kích thích ruột: Giảm tình trạng co thắt đại tràng, giảm tiết dịch. Điều trị triệu chứng ỉa chảy cấp hoặc mãn tính do tăng nhu động ruột và các rối loạn khác có co thắt cơ trơn: Cơn đau co thắt đường mật, đường tiết niệu (cơn đau quặn thận). Triệu chứng ngoại tháp: xuất hiện do tác dụng phụ của liệu pháp điều trị tâm thần. Bệnh parkinson ở giai đoạn đầu khi còn nhẹ, chưa cần thiết phải bắt đầu điều trị bằng thuốc loại dopamin. Dùng trước khi phẫu thuật nhằm tránh bài tiết quá nhiều nước bọt và dịch ở đường hô hấp và để ngừa các tác dụng của đối giao cảm (loạn nhịp tim, hạ huyết áp, chậm nhịp tim) xảy ra trong khi phẫu thuật. Điều trị nhịp tim chậm do ngộ độc digitalis: điều trị thăm dò bằng atropin. Điều trị cơn co thắt phế quản. Chỉ định khác: phòng sau tàu – xe, đái không tự chủ, giãn đồng tử, mất khả năng điều tiết của mắt.",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-2726/atropin-sulfat-025mgml.aspx
VNB-4571-05,Opeazitro 200mg,Azithromycin dihydrate,"Chỉ định Azithromycin
Azithromycin được chỉ định cho các nhiễm khuẩn do vi khuẩn nhạy cảm trong: - Nhiễm khuẩn đường hô hấp dưới, - Nhiễm khuẩn đường hô hấp trên, - Nhiễm khuẩn da và mô mềm, - Các nhiễm khuẩn lây truyền qua đường tình dục không do lậu, - Các nhiễm Chlamydia trachomatis không biến chứng ở đường sinh dục.",Thuốc bột,,,https://thuocbietduoc.com.vn/thuoc-2962/opeazitro-200mg.aspx
VN-3855-07,Derotard Powder,Dioctahedral smectite,"Chỉ định Dioctahedral smectite
- Tiêu chảy cấp và mãn tính ở trẻ con và người lớn. - Ðiều trị triệu chứng đau của bệnh thực quản-dạ dày-tá tràng và đại tràng.",Bột uống,,,https://thuocbietduoc.com.vn/thuoc-10208/derotard-powder.aspx
S217-H12-05,Nước oxy già 3%,Hydrogen peroxide,"Chỉ định
Sát trùng ngoài da.",Dung dịch dùng ngoài,,,https://thuocbietduoc.com.vn/thuoc-12771/nuoc-oxy-gia-3.aspx
VN-16937-13,Acimip,Imipenem 500mg; Cilastatin (dưới dạng Cilastatin natri) 500mg,"Chỉ định Imipenem
mipenem không phải là một thuốc lựa chọn đầu tiên mà chỉ dành cho những nhiễm khuẩn nặng. Imipenem - cilastatin có hiệu quả trên nhiều loại nhiễm khuẩn, bao gồm nhiễm khuẩn đường tiết niệu và đường hô hấp dưới; nhiễm khuẩn trong ổ bụng và phụ khoa; nhiễm khuẩn da, mô mềm, xương và khớp. Thuốc đặc biệt có ích trong điều trị những nhiễm khuẩn hỗn hợp mắc trong bệnh viện. Ðiều trị nhiễm khuẩn do nhiều loại vi khuẩn hỗn hợp mà những thuốc khác có phổ hẹp hơn hoặc bị chống chỉ định do có tiềm năng độc.",Bột pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-44827/acimip.aspx
VN-10716-10,Cipad 500,Ciprofloxacin Hydrochloride,"Chỉ định Ciprofloxacin
Các bệnh nhiễm trùng có biến chứng và không biến chứng gây ra do các bệnh nguyên nhạy cảm với ciprofloxacin. 


- Các bệnh nhiễm trùng của: 
*Đường hô hấp. Trong các trường hợp viêm phổi do phế cầu (Pneumococcus) ở bệnh nhân ngoại trú, không nên dùng Ciprofloxacin như là một thuốc đầu tay. Tuy nhiên Ciprofloxacin có thể được dùng trong trường hợp viêm phổi do Klebsiella, Enterobacter, Proteus, Pseudomonas, Haemophilus, Branhamella, Legionella và Staphylococcus. . Tai giữa (viêm tai giữa) và các xoang (viêm xoang), đặc biệt nguyên nhân do vi khuẩn gram âm, kể cả Pseudomonas hay Staphylococcus. .
*Mắt. . Thận và/hoặc đường tiết niệu. . Cơ quan sinh dục, kể cả bệnh lậu, viêm phần phụ, viêm tiền liệt tuyến. . Ổ bụng (như nhiễm trùng đường tiêu hóa hoặc đường mật, viêm phúc mạc). 
* Da và mô mềm. 
* Xương khớp. 
*Nhiễm trùng huyết. 
*Nhiễm trùng hoặc có nguy cơ nhiễm trùng (dự phòng) trên bệnh nhân có hệ miễn dịch suy yếu (như bệnh nhân bị suy giảm miễn dịch hoặc có tình trạng giảm bạch cầu). 
- Chỉ định cho tình trạng khử nhiễm ruột có chọn lọc trên bệnh nhân suy giảm miễn dịch (Ciprofloxacin dạng uống).",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-37281/cipad-500.aspx
VN-9931-10,Curxim 1.5gm,Cefuroxime sodium,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",Bột pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-32486/curxim-15gm.aspx
VNB-4045-05,Chè thanh nhiệt kim bảng,"Hoè hoa, cam thảo, thảo quyết minh","Chỉ định Cam thảo
Chỉ thống, thanh nhiệt, giải độc, tâm khí hư, táo nhiệt thương tổn tân dịch, viêm họng, đinh nhọt sưng độc, trúng độc, điều hoà các vị thuốc.",Chè thuốc,,,https://thuocbietduoc.com.vn/thuoc-12558/che-thanh-nhiet-kim-bang.aspx
VD-3314-07,Dầu mù u SP,Dầu mu u,"Làm mềm mượt, mau liền da, giảm khô da và nứt nẻ da.",Dung dịch dầu,,,https://thuocbietduoc.com.vn/thuoc-9352/dau-mu-u-sp.aspx
NC2-H01-04,Nedelin,"Dexamethasone, Neomycin sulfate, Naphazoline, sodium phosphate","Chỉ định Dexamethasone
Viêm phần trước cấp, viêm màng bồ đào trước mạn, viêm mống mắt, viêm thể mi, bệnh mắt do Herpex zoster. 
Dị ứng ở mắt, loét tái phát do nhiễm độc hay dị ứng. Bỏng mắt do nhiệt hay hóa chất. Phản ứng viêm hậu phẫu.",Dung dịch thuốc xịt mũi,,,https://thuocbietduoc.com.vn/thuoc-9529/nedelin.aspx
VNA-4718-05,"Oresol 4,2g","Glucose, sodium chloride, sodium citrate, potassium chloride","Chỉ định Glucose
Thiếu hụt carbohydrat và dịch. Mất nước do ỉa chảy cấp. Hạ đường huyết do suy dinh dưỡng, do ngộ độc rượu, do tăng chuyển hóa khi bị stress hay chấn thương. Làm test dung nạp glucose (uống);.",Thuốc bột uống,,,https://thuocbietduoc.com.vn/thuoc-12223/oresol-42g.aspx
VNB-3197-05,Cotamenthe,"Menthol, Eucalyptol","Chỉ định menthol
Dạng thuốc kem menthol được sử dụng để làm giảm những cơn đau nhẹ cho các bệnh như viêm khớp, viêm bao hoạt dịch, viêm gân, bong gân, đau lưng, bầm tím và chuột rút. Thuốc cũng có thể được sử dụng cho các bệnh khác theo chỉ định của bác sĩ.
Dạng dung dịch dùng đê hit giúp Giảm nhanh các chứng nghẹt mũi, sổ mũi do cảm cúm gây ra, giúp thông mũi và dễ thở.",Viên ngậm,,,https://thuocbietduoc.com.vn/thuoc-15193/cotamenthe.aspx
VNA-4903-02,Ofleye 5g,Ofloxacin,"Chỉ định Ofloxacin
Ofloxacine được chỉ định điều trị những trường hợp nhiễm khuẩn sau:  - Nhiễm trùng đường tiểu có biến chứng và không có biến chứng. - Nhiễm trùng da và mô mềm. - Viêm tuyến tiền liệt. - Bệnh lây truyền qua đường sinh dục như là: nhiễm lậu cầu cấp niệu đạo và cổ tử cung không biến chứng, viêm niệu đạo và cổ tử cung không do lậu cầu. - Viêm phổi do H. influenza hay Streptococcus pneumoniae. - Viêm phế quản mạn tính đợt cấp.",Mỡ tra mắt,,,https://thuocbietduoc.com.vn/thuoc-16968/ofleye-5g.aspx
VN-7756-03,Hytrin,Terazosin,"Chỉ định Terazosin
Dùng đơn thuần hoặc kết hợp trong tăng huyết áp. Giảm triệu chứng do phì đại tuyến tiền liệt lành tính.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-20664/hytrin.aspx
VN-4946-07,Kosmin,Etodolac,"Chỉ định Etodolac
Viêm xương khớp. Cơn gout cấp hay giả gout. Ðau sau nhổ răng. Ðau hậu phẫu, đau sau cắt tầng sinh môn. Thống kinh. Ðau cơ xương cấp tính do nhiều nguyên nhân",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-24281/kosmin.aspx
VN-1205-06,Lacdi Cefradine,Cephradine,"Chỉ định Cephradine
Nhiễm trùng đường hô hấp trên (viêm họng, viêm xoang, viêm tai giữa, viêm họng-phế quản); & dưới (viêm phế quản cấp & mãn, viêm phế quản phổi, viêm phổi thuỳ). Nhiễm trùng da & mô mềm (ápxe, viêm mô mềm, mụn, nhọt, chốc lở). Giúp giảm nguy cơ nhiễm trùng hậu phẫu khi phẫu thuật có nguy cơ nhiễm trùng cao.",Bột pha tiêm-1g,,,https://thuocbietduoc.com.vn/thuoc-7358/lacdi-cefradine.aspx
V269-H12-06,Clotrimazol,Clotrimazole,"Chỉ định Clotrimazole
Ðiều trị tại chỗ tinea pedis (nấm da chân, nấm kẽ), tinea cruris (nấm bẹn), tinea corporis (nấm da thân, lác đồng tiền) do T. rubrum, T. mentagrophytes, E. floccosum và M. canis; bệnh Candida do C. albicans và tinea versicolor (lang ben) do M. furfur. Thuốc cũng có tác dụng trong một số trường hợp nhiễm trùng da không do vi nấm như erythrasma do Corynebacterium minutissimum.",Kem bôi da,,,https://thuocbietduoc.com.vn/thuoc-8786/clotrimazol.aspx
VNB-1923-04,Hoạt huyết dưỡng não,"Cao đinh lăng, Cao Bạch quả","Chỉ định Ginkgo biloba
- Ðiều trị mất trí nhớ ngắn hạn, suy giảm tâm thần, thiếu nhạy bén và minh mẫn tâm thần, trầm cảm, khó khăn trong việc tập trung tư tưởng. 
- Ðiều trị các rối loạn chức năng cơ hữu của não, có kèm theo sự sa sút trí tuệ. 
- Ðiều trị hội chứng khập khễnh gián cách, bệnh võng mạc (thoái hóa vết chấm, bệnh võng mạc thuộc đái tháo), các hội chứng thuộc thiểu năng tai trong (nhức đầu, chóng mặt, ù tai...), lãng tai ở người cao tuổi. Di chứng sau các tai nạn huyết mạch thuộc não và chấn thương sọ. 
- Trạng thái lão suy (kể cả bệnh Alzheimer), chứng bất lực. 
- Chứng giòn mao mạch. 
- Hội chứng trước kinh nguyệt, nhức đầu... 
- Thuốc đã chứng tỏ là chất bổ sung thực phẩm rất tốt cho nhiều người, và đã tạo nên một cảm giác toàn hảo về sức khỏe rất tốt, đặc biệt ở các người cao tuổi.",Viên bao đường,,,https://thuocbietduoc.com.vn/thuoc-4631/hoat-huyet-duong-nao.aspx
VNB-2884-05,Cao xoa bóp bạch mã,"Camphor, Menthol, Methyl salicylate, Tinh dầu bạc hà, Tinh dầu quế, Tinh dầu Tràm, Tinh dầu hương nhu","Chỉ định Camphor
Chữa cảm cúm.
Sát khuẩn không khí, xua đuổi côn trùng.
Giảm đau nhức chân tay.
Chống bệnh trầm cảm.
Chống viêm, kháng khuẩn, chống co thắt.
Hỗ trợ điều trị hạ huyết áp, an thần.
Giảm chứng mất ngủ.
Kích thích miễn dịch.
Giúp tái tạo tế bào mới, chăm sóc da và giảm lão hóa.",Cao xoa,,,https://thuocbietduoc.com.vn/thuoc-4355/cao-xoa-bop-bach-ma.aspx
VN-7597-03,Ostriol,Calcitriol,"Chỉ định Calcitriol
Loãng xương sau mãn kinh. Loạn dưỡng xương do thận ở bệnh nhân bị suy thận mãn, đặc biệt ở bệnh nhân làm thẩm phân máu.",Viên nang mềm,,,https://thuocbietduoc.com.vn/thuoc-4138/ostriol.aspx
VD-27071-17,Vitamin B1 250mg,Thiamin mononitrat 250mg,"Chỉ định Vitamin B1
Phòng và điều trị bệnh Beri-beri. Điều trị các trường hợp đau nhức dây thần kinh lưng, hông và dây thần kinh sinh ba( phối hợp với các vitamin B6 và B12); Các trường hợp mệt mỏi, kém ăn, suy dinh dưỡng và rối loạn tiêu hoá.",Viên nén bao đường,,,https://thuocbietduoc.com.vn/thuoc-58901/vitamin-b1-250mg.aspx
VD-23689-15,Cevit 1g,Acid ascorbic 1000mg/5ml,"Chỉ định Vitamin C
Phòng và điều trị thiếu vitamin C ( bệnh Scorbut); và các chứng chảy máu do thiếu vitamin C. 
Tăng sức đề kháng ở cơ thể khi mắc bệnh nhiễm khuẩn, cảm cúm , mệt mỏi, nhiễm độc. Thiếu máu do thiếu sắt. 
Phối hợp với các thuốc chống dị ứng.",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-51612/cevit-1g.aspx
VD-27807-17,Bostafed,"Triprolidin hydroclorid 2,5mg; Pseudoephedrin hydroclorid 60mg","Chỉ định Triprolidin
Điều trị các triệu chứng của dị ứng như mày đay, viêm mũi dị ứng, ngứa. Triprolidin và pseudoephedrin hydroclorid thường được kết hợp để điều trị viêm mũi. Triprolidin cũng có mặt trong nhiều chế phẩm chữa triệu chứng ho và cảm lạnh.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-55219/bostafed.aspx
VD-22573-15,Berberin,Berberin clorid 10 mg,"Chỉ định Berberine
Nhiễm trùng đường ruột. Tiêu chảy. Lỵ trực trùng, hội chứng lỵ. Viêm ống mật.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-50186/berberin.aspx
VD-26084-17,Medclean,"Mỗi gói chứa: Natri clorid 2,21g; Natri hydrocarbonat 0,04g","Chỉ định Natri clorid
Bù nước và điện giải.",Bột pha dung dịch rửa mũi,,,https://thuocbietduoc.com.vn/thuoc-54045/medclean.aspx
VD-24264-16,Atorvastatin SaVi 80,Atorvastatin (dưới dạng Atorvastatin calci trihydrat) 80mg,"Chỉ định Atorvastatin
Ðiều trị hỗ trợ cho chế độ ăn kiêng làm giảm cholesterol toàn phần, LDL, apolipoprotein B, triglycerid & làm tăng HDL ở bệnh nhân tăng cholesterol máu nguyên phát & rối loạn lipid máu hỗn hợp (type IIa & IIb); làm giảm triglycerid máu type IV). Ðiều trị rối loạn betalipoprotein máu nguyên phát (type III). Ðiều trị hỗ trợ với các biện pháp làm giảm lipid khác để làm giảm cholesterol toàn phần & LDL ở bệnh nhân tăng cholesterol máu có tính gia đình đồng hợp tử.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-52228/atorvastatin-savi-80.aspx
VN-9456-10,Coxnis-100,Celecoxib,"Chỉ định Celecoxib
Ðiều trị triệu chứng bệnh viêm xương khớp, viêm khớp dạng thấp ở người trưởng thành.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-32533/coxnis-100.aspx
V1211-H12-10,Samatos PV,"Cao khô hỗn hợp (Sinh địa, Sơn thù du, Mẫu đơn bì, Câu kỷ tử, Phục linh, Hoài sơn, Trạch tả, Cúc hoa..)","Chỉ định Mẫu đơn bì
+ Trị nhiệt nhập dinh huyết, sốt về chiều, phát ban, can dương vượng lên, kinh nguyệt không đều, đinh nhọt sưng tấy, ứ đau do ngoại thương (Lâm Sàng Thường Dụng Trung Dược Thủ Sách).
+ Trị nhiệt tà thuộc ôn nhiệt bệnh nhập vào phần dinh, phát ban, kinh giật, thổ huyết, chảy máu cam, tiểu ra máu, kinh bế, trưng hà, trường ung, ung nhọt do ứ huyết đình trệ (Đông Dược Học Thiết Yếu).",,,,https://thuocbietduoc.com.vn/thuoc-32055/samatos-pv.aspx
VN-13752-11,Glomina cap,Glucosamin sulfat kết tinh,"Chỉ định Glucosamine
Tất cả các bệnh thoái hóa xương khớp, thoái khớp nguyên phát và thứ phát như thoái khớp gối, háng tay, thoái hóa cột sống, vai, viêm quanh khớp, loãng xương, gãy xương teo khớp, viêm khớp mãn và cấp.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-40884/glomina-cap.aspx
VN-14031-11,0.9% Sodium chloride injection,NaCl,,Dung dịch tiêm truyền tĩnh mạch,,,https://thuocbietduoc.com.vn/thuoc-41161/09-sodium-chloride-injection.aspx
VD-14251-11,Kydheamo - 1B,Natri bicarbonat 84g,"Chỉ định Natri bicarbonat
Nhiễm acid chuyển hoá.",Thùng 1 can 10 lít dung dịch dùng cho thẩm phân máu,,,https://thuocbietduoc.com.vn/thuoc-40153/kydheamo-1b.aspx
VN-11379-10,Ciprofot,Ciprofloxacin,"Chỉ định Ciprofloxacin
Các bệnh nhiễm trùng có biến chứng và không biến chứng gây ra do các bệnh nguyên nhạy cảm với ciprofloxacin. 


- Các bệnh nhiễm trùng của: 
*Đường hô hấp. Trong các trường hợp viêm phổi do phế cầu (Pneumococcus) ở bệnh nhân ngoại trú, không nên dùng Ciprofloxacin như là một thuốc đầu tay. Tuy nhiên Ciprofloxacin có thể được dùng trong trường hợp viêm phổi do Klebsiella, Enterobacter, Proteus, Pseudomonas, Haemophilus, Branhamella, Legionella và Staphylococcus. . Tai giữa (viêm tai giữa) và các xoang (viêm xoang), đặc biệt nguyên nhân do vi khuẩn gram âm, kể cả Pseudomonas hay Staphylococcus. .
*Mắt. . Thận và/hoặc đường tiết niệu. . Cơ quan sinh dục, kể cả bệnh lậu, viêm phần phụ, viêm tiền liệt tuyến. . Ổ bụng (như nhiễm trùng đường tiêu hóa hoặc đường mật, viêm phúc mạc). 
* Da và mô mềm. 
* Xương khớp. 
*Nhiễm trùng huyết. 
*Nhiễm trùng hoặc có nguy cơ nhiễm trùng (dự phòng) trên bệnh nhân có hệ miễn dịch suy yếu (như bệnh nhân bị suy giảm miễn dịch hoặc có tình trạng giảm bạch cầu). 
- Chỉ định cho tình trạng khử nhiễm ruột có chọn lọc trên bệnh nhân suy giảm miễn dịch (Ciprofloxacin dạng uống).",Dịch truyền,,,https://thuocbietduoc.com.vn/thuoc-37457/ciprofot.aspx
VN-10293-10,Lisinopril-1A Plus,Lisinopril; Hydrochlorothiazide,"Chỉ định Lisinopril
Tăng huyết áp (dùng đơn trị liệu và trong phối hợp thuốc). Ðiều trị phụ trợ suy tim.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-33580/lisinopril-1a-plus.aspx
