so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,ma_icd,trang_thai_xac_nhan,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-20761-14,Kavasdin 5,Amlodipin (dưới dạng Amlodipin besylat) 5mg,"Chỉ định Amlodipine
Dùng một mình để điều trị cao huyết áp, hoặc nếu cần, có thể phối hợp với thuốc lợi tiểu thiazid, thuốc chẹn bêta hoặc thuốc ức chế men chuyển. Ðiều trị thiếu máu cơ tim, đau thắt ngực ổn định hoặc đau thắt ngực vận mạch (Prinzmetal). Thuốc có thể dùng một mình hoặc phối hợp với những thuốc chống đau thắt ngực khác, hoặc dùng trong các trường hợp kháng với nitrat và/hoặc thuốc chẹn bêta.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-46403/kavasdin-5.aspx
VN-16920-13,Dobucin,Dobutamine (dưới dạng Dobutamine HCl) 250mg/5ml,"Chỉ định Dobutamine
Dùng đơn độc hay phối hợp trong giảm cung lượng tim. Suy tuần hoàn do tim (bệnh tim, sau phẫu thuật tim);. Suy tuần hoàn không phải do tim. Dùng làm thử nghiệm rong các thủ thuật chẩn đoán thiếu máu cơ tim.",,Pending,Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-44715/dobucin.aspx
VN-4737-07,Smecta,Dioctahedral smectite,"Chỉ định Dioctahedral smectite
- Tiêu chảy cấp và mãn tính ở trẻ con và người lớn. - Ðiều trị triệu chứng đau của bệnh thực quản-dạ dày-tá tràng và đại tràng.",,Pending,Thuốc bột pha thành dung dịch treo,,,https://thuocbietduoc.com.vn/thuoc-24269/smecta.aspx
VN-10261-10,Zinnat tablets 500mg,Cefuroxime,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-33482/zinnat-tablets-500mg.aspx
VN-16803-13,Ultracet,"Tramadol hydrochloride 37,5mg; Paracetamol 325mg","Chỉ định Tramadol
Ðau vừa đến đau nặng, đau sau chẩn đoán hay phẫu thuật.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-44598/ultracet.aspx
VN-9133-04,Floxigat 400,Gatifloxacin,"Chỉ định Gatifloxacin
Gatifloxacin được chỉ định cho bệnh nhân ≥ 18 tuổi để điều trị các nhiễm khuẩn xảy ra do các vi khuẩn nhạy cảm sau đây: viêm phổi mắc phải trong cộng đồng, đợt cấp viêm phế quản mạn tính, viêm xoang cấp, nhiễm khuẩn không biến chứng da và các tổ chức da, nhiễm khuẩn tiết niệu không biến chứng (viên bàng quang) và có biến chứng, viêm thận - bể thận, lậu niệu đạo không biến chứng, lậu trực tràng ở nam, lậu cổ tử cung và lậu trực tràng ở nữ.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-11698/floxigat-400.aspx
VN-0911-06,Motilium-M,Domperidone maleate,"Chỉ định Domperidone
Buồn nôn & nôn do: Viêm dạ dày, viêm gan, viêm đường tiêu hoá, đau nửa đầu; 
nôn hậu phẫu; nôn do dùng thuốc; nôn do xạ trị, nôn mạn tính ở trẻ em.
Chậm tiêu do: Viêm thực quản trào ngược, đầy hơi sau khi ăn, viêm & viêm loét dạ dày.",,Pending,Viên nén-10mg Domperidone,,,https://thuocbietduoc.com.vn/thuoc-10452/motilium-m.aspx
VD-27561-17,Clabact 500,Clarithromycin 500mg,"Chỉ định
Nhiễm trùng đường hô hấp dưới, ví dụ viêm phế quản cấp tính và mạn tính, viêm phổi.
Nhiễm trùng đường hô hấp trên, ví dụ viêm xoang và viêm họng.
Nhiễm trùng da và mô mềm, ví dụ viêm nang lông, viêm mô tế bào và viêm quầng.
Nhiễm vi khuẩn lan tỏa hoặc khu trú do các vi khuẩn Mycobacterium avium hoặc Mycobacterium intracellulare. Nhiễm khuẩn khu trú do Mycobacterium chelonae, Mycobacterium fortuitum, hoặc Mycobacterium kansasii.
Clarithromycin được chỉ định để ngăn ngừa nhiễm khuẩn lan tỏa do Mycobacterium avium complex (MAC); ở những bệnh nhân nhiễm HIV với số lượng tế bào bạch huyết CD4 ít hơn hoặc bằng 100/mm3.
Clarithromycin dùng kết hợp với chất ức chế acid trong chỉ định điều trị diệt trừ H. pylori ở bệnh nhân loét tá tràng tái phát (xem mục Liều dùng và cách dùng).",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-55606/clabact-500.aspx
VD-24789-16,Drotusc Forte,Drotaverin hydroclorid 80 mg,"Chỉ định Drotaverine
- Co thắt dạ dày-ruột. Hội chứng ruột bị kích thích. - Cơn đau quặn mật và các co thắt đường mật: sạn đường mật và túi mật, viêm đường mật. - Cơn đau quặn thận và các co thắt đường niệu-sinh dục: sỏi thận, sỏi niệu quản, viêm bể thận, viêm bàng quang. - Các co thắt tử cung: đau bụng kinh, dọa sẩy thai, co cứng tử cung.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-52779/drotusc-forte.aspx
VN-7200-02,Tanganil 500mg,Acetyl-DL-Leucine,"Chỉ định
Ðiều trị nôn,cơn chóng mặt",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-983/tanganil-500mg.aspx
