so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VN-7003-02,Mannitol Injection Sintong,Mannitol,"Chỉ định Mannitol
Phòng hoại tử thận cấp do hạ huyết áp. Thiểu niệu sau mổ. Gây lợi niệu ép buộc để tăng đào thải các chất độc qua đường thận. Làm giảm áp lực nội sọ trong phù não. Làm giảm nhãn áp. Dùng trước và trong các phẫu thuật mắt. Dùng làm test thăm dò chức năng thận. Dùng làm dịch rửa trong cắt nội soi tuyến tiền liệt.",Dung dịch tiêm truyền,,,https://thuocbietduoc.com.vn/thuoc-14867/mannitol-injection-sintong.aspx
VNB-4087-05,Chlorpheniramin maleat 4mg,Chlorpheniramine,"Chỉ định Clorpheniramin
Các trường hợp dị ứng ngoài da như mày đay, eczema, dị ứng đường hô hấp như sổ mũi, ngạt mũi .",Viên nén dài bao phim (nhỏ),,,https://thuocbietduoc.com.vn/thuoc-7760/chlorpheniramin-maleat-4mg.aspx
VN-3522-07,Nisime 100,Cefixime,"Chỉ định Cefixime
Trong các nhiễm khuẩn sau đây gây ra bởi các chủng nhạy cảm với cefixime như Streptococcus sp. (ngoại trừ Enteroccus sp.), Streptococcus pneumoniae, Neisseria gonorrhoeae, Branhamella catarrhalis, Escherichia coli, Klebsiella sp., Serratia sp., Proteus sp. và Haemophilus influenzae:",Viên nén bao phim-100mg,,,https://thuocbietduoc.com.vn/thuoc-5950/nisime-100.aspx
VN-9077-09,Duremid Tab. 10mg,,,Viên nén không bao,,,https://thuocbietduoc.com.vn/thuoc-30811/duremid-tab-10mg.aspx
VN-7763-09,"Norcobalamin tablets 0,5mg",Mecobalamin,"Chỉ định Mecobalamine
Các bệnh lý thần kinh ngoại biên. Thiếu máu hồng cầu to do thiếu vitamin B12.",Viên nén bao đường,,,https://thuocbietduoc.com.vn/thuoc-30205/norcobalamin-tablets-05mg.aspx
VN-9534-10,Reniate,Enalapril maleate,"Chỉ định Enalapril
Tất cả các độ cao huyết áp vô căn: Enalapril maleate có thể dùng một mình hay kết hợp với các thuốc chống cao huyết áp khác. Trong cao huyết áp nồng độ renin thấp, Enalapril maleate ít có tác dụng.
Cao huyết áp thận: Trong trường hợp cao huyết áp nồng độ renin cao, hiệu quả thuốc tăng mạnh. 
Suy tim: Dùng phụ trị.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-32964/reniate.aspx
VN-14388-11,Unitadin,Loratadine,"Chỉ định Loratadine
Loratadin được chỉ định trong những triệu chứng liên quan đến viêm mũi dị ứng như hắt hơi, chảy nước mũi, và ngứa mũi, cũng như ngứa và xót mắt.
Những dấu hiệu và triệu chứng ở mũi và mắt giảm nhanh chóng sau khi dùng đường uống. Loratadin cũng được chỉ định trong điều trị các triệu chứng, dấu hiệu mề đay mạn tính và các rối loạn dị ứng ngoài da khác.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-41518/unitadin.aspx
VN-9739-10,Alkoxime-250,Cefuroxim Axetil,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-33766/alkoxime-250.aspx
VD-20858-14,Prednison 5mg,Prednison 5mg,"Chỉ định Prednisone
Các bệnh lý khớp, bệnh chất tạo keo, da, mắt, hô hấp, huyết học, thận & dị ứng đáp ứng với corticosteroids.",Viên nén (màu cam);,,,https://thuocbietduoc.com.vn/thuoc-46575/prednison-5mg.aspx
VN-18417-14,Zetedine Inj 500mg,Imipenem (dưới dạng Imipenem monohydrat 530 mg) 500 mg; Cilastatin (dưới dạng cilastatin natri 532 mg) 500 mg,"Chỉ định Imipenem
mipenem không phải là một thuốc lựa chọn đầu tiên mà chỉ dành cho những nhiễm khuẩn nặng. Imipenem - cilastatin có hiệu quả trên nhiều loại nhiễm khuẩn, bao gồm nhiễm khuẩn đường tiết niệu và đường hô hấp dưới; nhiễm khuẩn trong ổ bụng và phụ khoa; nhiễm khuẩn da, mô mềm, xương và khớp. Thuốc đặc biệt có ích trong điều trị những nhiễm khuẩn hỗn hợp mắc trong bệnh viện. Ðiều trị nhiễm khuẩn do nhiều loại vi khuẩn hỗn hợp mà những thuốc khác có phổ hẹp hơn hoặc bị chống chỉ định do có tiềm năng độc.",Bột pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-47244/zetedine-inj-500mg.aspx
