so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-25970-16,Alenbe plus 70mg/5600 IU,Acid alendronic (dưới dạng natri alendronat trihydrat) 70mg; Vitamin D3 (dưới dạng Cholecalciferol 100.000IU/g) 5600IU,"Chỉ định Alendronic
Alendronat được chỉ định để điều trị và dự phòng loãng xương ở phụ nữ mãn kinh. Trong điều trị loãng xương, alendronat làm tăng khối lượng xương và ngăn ngừa gẫy xương, kể cả khớp háng, cổ tay và đốt sống (gãy do nén đốt sống);. 
Để dự phòng loãng xương, có thể dùng alendronat cho phụ nữ có nguy cơ mắc loãng xương hoặc cho người mong muốn duy trì khối lượng xương và giảm nguy cơ gẫy xương sau này. 
Để dự phòng và điều trị loãng xương do dùng corticosteroid. Alendronat được chỉ địng để điều trị bệnh xương Paget: 
Điều trị được chỉ định cho bị bệnh xương Paget có phosphatase kiềm cao hơn ít nhất hai lần giới hạn trên của bình thường hoặc người có triệu chứng bệnh, hoặc người có nguy cơ mắc bệnh biến chứng sau này về bệnh đó.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-53931/alenbe-plus-70mg5600-iu.aspx
VD-2516-07,Pesancidin,Acid Fusidic,"Chỉ định Fusidic acid
Fusidic acid được chỉ định để điều trị nhiễm trùng da do tụ cầu trùng, liên cầu trùng và các vi sinh vật khác nhạy cảm với Fusidic acid. 
Chỉ định quan trọng nhất là: chốc, viêm nang lông, vết thương nông, bệnh nấm do Corynebacterium minutissimum, nhọt, viêm nang râu, vết thương do chấn thương hoặc phẫu thuật, vết bỏng, cụm nhọt, viêm tuyến mồ hôi, vết loét do giãn tĩnh mạch, viêm quanh móng, và trứng cá thường.",Kem bôi da,,,https://thuocbietduoc.com.vn/thuoc-1033/pesancidin.aspx
VD-4820-08,Tipharmlor,Amlodipine besylate,"Chỉ định Amlodipine besylate
Dùng một mình để điều trị cao huyết áp, hoặc nếu cần, có thể phối hợp với thuốc lợi tiểu thiazid, thuốc chẹn bêta hoặc thuốc ức chế men chuyển. Ðiều trị thiếu máu cơ tim, đau thắt ngực ổn định hoặc đau thắt ngực vận mạch (Prinzmetal);. Thuốc có thể dùng một mình hoặc phối hợp với những thuốc chống đau thắt ngực khác, hoặc dùng trong các trường hợp kháng với nitrat và/hoặc thuốc chẹn bêta.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-24964/tipharmlor.aspx
VD-13855-11,Laborat 2 mg,Risperidon 2mg,"Chỉ định Risperidone
Risperidone được chỉ định điều trị các dạng bệnh tâm thần phân liệt, bao gồm loạn thần giai đoạn đầu tiên, tâm thần phân liệt cấp tiến triển xấu, tâm thần phân liệt mạn tính và các dạng loạn thần khác, trong đó nổi bật các triệu chứng dương tính (như ảo giác, hoang tưởng, rối loạn tư duy, thù hằn, đa nghi); và/hoặc các triệu chứng âm tính dễ thấy (như cảm xúc cùn mòn, co rút về tình cảm và xã hội, ngôn ngữ nghèo nàn). Risperidone cũng cải thiện các triệu chứng cảm xúc (như trầm cảm, cảm giác tội lỗi, lo âu) kết hợp với tâm thần phân liệt. Ở những bệnh nhân đạt được sự cải thiện tốt về mặt lâm sàng sau đợt điều trị đầu tiên, Risperidone cũng rất hiệu quả trong việc duy trì ổn định tình trạng lâm sàng trên. Risperidone được chỉ định điều trị các rối loạn hành vi ở bệnh nhân sa sút trí tuệ mà có các triệu chứng như kích động (bùng nổ lời nói, bạo lực), rối loạn hoạt động (bối rối, lo âu, thơ thẩn), hoặc triệu chứng loạn thần nổi trội. Risperidone cũng được chỉ định điều trị hưng cảm liên quan đến rối loạn lưỡng cực. Hưng cảm đặc trưng bởi các triệu chứng như tự cao, cởi mở khí sắc, cáu kỉnh, tự mãn, giảm nhu cầu ngủ, nói nhiều, tư duy tăng nhanh, rối loạn kiểm soát hay kém nhận xét bao gồm cả hành vi phá phách hay kích động. Risperidone được chỉ định điều trị rối loạn cư xử và hành vi bị phá vỡ ở trẻ em, thanh thiếu niên, người lớn với chức năng vận dụng trí óc dưới mức trung bình hay chậm phát triển tâm thần vận động mà hành vi bị phá hủy nổi trội (ví dụ: kích động, bốc đồng hoặc hành vi tự gây thương tích). Risperidone được chỉ định để điều trị tự kỷ ở trẻ em và thanh thiếu niên.","hộp 3 vỉ, 6 vỉ, 10 vỉ, 25 vỉ, 50 vỉ x 10 viên, chai 30 viên, 60 viên, 100 viên, 200 viên, 500 viên, 1000 viên nén dài bao phim",,,https://thuocbietduoc.com.vn/thuoc-39781/laborat-2-mg.aspx
VN-9035-04,Maltofer,Sắt (III) hydroxide polymaltose,"Chỉ định Sắt
Phòng và điều trị thiếu máu do thiếu sắt. Không có sự khác biệt về khả năng hấp thu sắt khi sắt được bào chế dưới dạng các loại muối khác nhau.",Si rô,,,https://thuocbietduoc.com.vn/thuoc-19337/maltofer.aspx
QLĐB-551-16,Meopristone,Mifepriston 10 mg,"Chỉ định Mifepristone
- Mifepristone (10mg) được dùng cho những trường hợp tránh thai khẩn cấp sau giao hợp không được bảo vệ.
- Sử dụng như một loại thuốc gây sẩy thai để chấm dứt thai kỳ trong tử cung.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-53067/meopristone.aspx
VD-14212-11,Gliclazid,Gliclazid 80mg,"Chỉ định Gliclazide
Ðái tháo đường týp 2 (không lệ thuộc insulin), phối hợp với chế độ ăn kiêng phù hợp, khi sự kiểm soát đường huyết không đạt được bằng chế độ ăn kiêng đơn thuần.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-40114/gliclazid.aspx
VN-7364-03,Cavinton forte,Vinpocetine,"Chỉ định
- Rối loạn tuần hoàn não: sau đột quị, suy giảm trí năng do mạch, xơ vữa động mạch não, bệnh não do cao huyết áp và sau chấn thương. - Rối loạn mạch mạn tính của võng mạc & mạch mạc. - Suy giảm thính lực tuổi già kiểu tiếp nhận, bệnh Ménière & ù tai.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-22018/cavinton-forte.aspx
VD-29364-18,Nautamine,Diacefyllin diphenhydramin 90mg,"Chỉ định Diacefyllin diphenhydramin
- Dị ứng: viêm mũi dị ứng theo mùa hoặc quanh năm, viêm mũi vận mạch, viêm kết mạc dị ứng. 
- Dị ứng da, mề đay, chóng mặt, mất ngủ, chống bệnh Parkinson. 
- Ho do lạnh.
-  Trị dị ứng do thực phẩm và do các chất gây dị ứng hít phải.  
-  Trị dị ứng da do côn trùng chích, cắn.  
-  Ngừa và trị buồn nôn và nôn do say tàu xe.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-57351/nautamine.aspx
VN-17438-13,Fresofol 1% MCT/LCT,Propofol 1% (10mg/ml),"Chỉ định Propofol
Propofol là một thuốc gây mê tĩnh mạch tác dụng ngắn thích hợp cho việc dẫn mê và duy trì mê. Propofol cũng có thể được dùng để gây ngủ ở bệnh nhân đang được thông khí hỗ trợ trong đơn vị săn sóc đặc biệt. Propofol cũng dùng để an thần gây ngủ cho các phẫu thuật và thủ thuật chẩn đoán.",Nhũ tương để tiêm hoặc tiêm truyền tĩnh mạch,,,https://thuocbietduoc.com.vn/thuoc-45074/fresofol-1-mctlct.aspx
VD-29692-18,Bosuzinc,Mỗi 5ml siro chứa: Kẽm (dưới dạng Kẽm gluconat 70mg) 10mg,"Chỉ định Zinc
Hỗ trợ điều trị tiêu chảy cấp và mạn tính. Hỗ trợ điều trị và phòng bệnh thiếu kẽm ở trẻ nhỏ và người lớn. Giúp hỗ trợ biếng ăn, tăng cường miễn dịch, nâng cao sức đề kháng.",Siro,,,https://thuocbietduoc.com.vn/thuoc-55220/bosuzinc.aspx
V459-H12-05,Cinatrol,"Citric acid, sodium bicarbonate","Chỉ định Natri bicarbonat
Nhiễm acid chuyển hoá.",Thuốc cốm,,,https://thuocbietduoc.com.vn/thuoc-8404/cinatrol.aspx
VD-22825-15,Parafizz 650,Paracetamol 650 mg,"Chỉ định Paracetamol
Paracetamol được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa. 
* Giảm đau: 
Paracetamol được dùng giảm đau tạm thời trong điều trị chứng đau nhẹ và vừa: đau đầu, đau răng, đau bụng kinh... Thuốc có hiệu quả nhất là giảm đau cường độ thấp có nguồn gốc không phải nội tạng. Paracetamol không có tác dụng trị thấp khớp. Paracetamol là thuốc thay thế salicylat (được ưa thích ở người bệnh chống chỉ định hoặc không dung nạp salicylat) để giảm đau nhẹ hoặc hạ sốt. 
* Hạ sốt:


Paracetamol thường được dùng để giảm thân nhiệt ở người bệnh sốt, khi sốt có thể có hại hoặc khi hạ sốt nói chung không đặc hiệu, không ảnh hưởng đến tiến trình của bệnh cơ bản và có thể che lấp tình trạng bệnh của người bệnh.",Viên nén sủi bọt,,,https://thuocbietduoc.com.vn/thuoc-49766/parafizz-650.aspx
VN-9842-05,Nalidixic Acid tablets BP 500mg,Nalidixic acid,"Chỉ định Nalidixic Acid
Nhiễm trùng đường tiểu dưới cấp hay nhiễm trùng tái phát không biến chứng. Lỵ trực trùng, tiêu chảy do nhiễm trùng. Điều trị nhiễm khuẩn đường tiết niệu, sinh dục do các vi khuẩn gram âm, như viêm bàng quang, viêm bể thận, viêm niệu quản... Điều trị nhiễm khuẩn đường tiêu hoá do vi khuẩn âm như viêm dạ dày, viêm ruột...",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-16009/nalidixic-acid-tablets-bp-500mg.aspx
VN-18052-14,PMS-Ursodiol C 250mg,Ursodiol 250mg,"Chỉ định Ursodiol
Điều trị sỏi mật nhỏ (đường kính dưới 20 mm) ở những người không thể phẫu thuật túi mật.


Ngăn ngừa sự hình thành sỏi mật ở bệnh nhân béo phì giảm cân nhanh chóng.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-46052/pms-ursodiol-c-250mg.aspx
VD-11581-10,Cefdina 300,Cefdinir 300mg,"Chỉ định Cefdinir
Trong các nhiễm trùng gây ra bởi những dòng vi khuẩn nhạy cảm với cefdinir như: Staphylococcus sp., Streptococcus sp., Streptococcus pneumoniae, Peptostreptococcus sp., Propionibacterium sp., Neisseria gonorrhea, Branhamella catarrhatis, Escherichia coli, Klebsiella sp., Proteus mirabilis, Providencia sp., và Heamophilus influenza bao gồm các bệnh lý sau: Nhiễm trùng hô hấp trên & dưới. Viêm nang lông, nhọt, chốc lở, viêm quầng, viêm tấy, viêm mạch hay hạch bạch huyết, chín mé, viêm quanh móng, áp-xe dưới da, viêm tuyến mồ hôi, vữa động mạch nhiễm trùng, viêm da mủ mạn tính. Viêm thận-bể thận, viêm bàng quang. Viêm phần phụ tử cung, viêm tử cung, viêm tuyến Bartholin.",,,,https://thuocbietduoc.com.vn/thuoc-35671/cefdina-300.aspx
VD-21179-14,Fexofenadine 180 - US,Fexofenadin HCl 180 mg,"Chỉ định Fexofenadine
- Ðiều trị các triệu chứng viêm mũi dị ứng ở người lớn và trẻ em ≥ 12 tuổi. 
- Những triệu chứng được điều trị có hiệu quả là: hắt hơi, chảy nước mũi, ngứa vòm miệng và họng, mắt ngứa đỏ và chảy nước mắt.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-46338/fexofenadine-180-us.aspx
VNA-4346-05,Trimazon,"Sulfamethoxazole, Trimethoprim","Chỉ định Sulfamethoxazole
Điều trị các nhiễm khuẩn do vi khuẩn nhạy cảm. - Nhiễm khuẩn tiết, sinh dục. - Nhiễm khuẩn hô hấp: viêm phế quản, viêm phổi, viêm xoang, viêm tai giữa... - Nhiễm khuẩn đường tiêu hoá.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-20435/trimazon.aspx
VN-8204-09,Meglucon 1000,Metformin Hydrochloride,"Chỉ định Metformin
Metformin hydrochloride là một biguanide hạ đuờng huyết dùng điều trị bệnh tiểu đường không phụ thuộc insulin khi không thể kiểm soát đường huyết bằng chế độ ăn kiêng đơn thuần. Thuốc có thể được kê toa ở những bệnh nhân không còn đáp ứng với các sulfonylurea, thêm vào dẫn chất sulfonylurea đang sử dụng. Ở bệnh nhân béo phì thuốc có thể gây ra giảm cân có lợi, đôi khi tác dụng này là lý do căn bản của sự kết hợp insulin và metformin ở bệnh tiểu đường phụ thuộc insulin.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-30095/meglucon-1000.aspx
VD-14487-11,Disolvan,"Bromhexine hydrochloride 0,08g/100ml","Chỉ định Bromhexine
Liệu pháp phân hủy chất tiết trong các bệnh phế quản phổi cấp tính và mãn tính liên quan đến sự tiết chất nhầy bất thường và sự vận chuyển chất nhầy bị suy giảm.",Dung dịch uống,,,https://thuocbietduoc.com.vn/thuoc-40386/disolvan.aspx
VD-26009-16,Telfor 120,Fexofenadin HCl 120mg,"Chỉ định Fexofenadine
- Ðiều trị các triệu chứng viêm mũi dị ứng ở người lớn và trẻ em ≥ 12 tuổi. 
- Những triệu chứng được điều trị có hiệu quả là: hắt hơi, chảy nước mũi, ngứa vòm miệng và họng, mắt ngứa đỏ và chảy nước mắt.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-53970/telfor-120.aspx
VN-10214-05,Acyclovir cream sinil,Acyclovir,"Chỉ định Acyclovir
*Viên nén: Nhiễm virus herpes simplex da và niêm mạc, bao gồm herpes sinh dục khởi phát và tái phát. Ngăn chặn việc tái nhiễm herpes simplex trên người có miễn dịch bình thường.",Kem,,,https://thuocbietduoc.com.vn/thuoc-1142/acyclovir-cream-sinil.aspx
V1167-H12-05,Coafarmin 2mg,Dexchlorpheniramine maleate,"Chỉ định Dexchlorpheniramine
Ðiều trị triệu chứng các biểu hiện dị ứng khác nhau: viêm mũi (theo mùa hay quanh năm);, viêm kết mạc, mề đay.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-9439/coafarmin-2mg.aspx
VD-28965-18,Mexcold 650,Paracetamol 650 mg,"Chỉ định Paracetamol
Paracetamol được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa. 
* Giảm đau: 
Paracetamol được dùng giảm đau tạm thời trong điều trị chứng đau nhẹ và vừa: đau đầu, đau răng, đau bụng kinh... Thuốc có hiệu quả nhất là giảm đau cường độ thấp có nguồn gốc không phải nội tạng. Paracetamol không có tác dụng trị thấp khớp. Paracetamol là thuốc thay thế salicylat (được ưa thích ở người bệnh chống chỉ định hoặc không dung nạp salicylat) để giảm đau nhẹ hoặc hạ sốt. 
* Hạ sốt:


Paracetamol thường được dùng để giảm thân nhiệt ở người bệnh sốt, khi sốt có thể có hại hoặc khi hạ sốt nói chung không đặc hiệu, không ảnh hưởng đến tiến trình của bệnh cơ bản và có thể che lấp tình trạng bệnh của người bệnh.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-57191/mexcold-650.aspx
VNA-4454-01,"Dexamethason 0,5mg",Dexamethasone,"Chỉ định
Điều trị các tình trạng dị ứng, nổi mề đay, phù Quincke, hen suyễn, khó thở liên tục. Một số bệnh phế quản nghẽn mãn tính, bệnh xơ phổi, chứng viêm màng não mủ, viêm thần kinh thị giác, viêm mũi dị ứng, viêm xoang cấp hay mãn tính, cơn kịch phát viêm trực kết tràng chảy máu, viêm khớp và viêm đa khớp. Các bệnh da: Pemphigus, eczema, viêm gan mãn tính, hoạt động tự miễn dịch, ban xuất huyết, phù não do u hay chấn thương.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-9436/dexamethason-05mg.aspx
VN-0664-06,Amlocor-5,Amlodipine,"Chỉ định Amlodipine
Dùng một mình để điều trị cao huyết áp, hoặc nếu cần, có thể phối hợp với thuốc lợi tiểu thiazid, thuốc chẹn bêta hoặc thuốc ức chế men chuyển. Ðiều trị thiếu máu cơ tim, đau thắt ngực ổn định hoặc đau thắt ngực vận mạch (Prinzmetal). Thuốc có thể dùng một mình hoặc phối hợp với những thuốc chống đau thắt ngực khác, hoặc dùng trong các trường hợp kháng với nitrat và/hoặc thuốc chẹn bêta.",Viên nén-5mg,,,https://thuocbietduoc.com.vn/thuoc-1734/amlocor-5.aspx
VN-20661-17,Buscopan,Hyoscin butylbromid 10mg,"Chỉ định Hyoscine butylbromide
Cơn co thắt đường tiêu hóa, viêm dạ dày, loét dạ dày-tá tràng, táo bón do co thắt, viêm đại tràng. Đau do sỏi thận, sỏi mật, đau khi thăm khám ở niệu đạo, đau khi thấy kinh.",Viên nén bao đường,,,https://thuocbietduoc.com.vn/thuoc-55255/buscopan.aspx
VD-26337-17,Hepaqueen gold,Cao khô Cardus marianus (tương đương với Silymarin 140mg) 250mg,"Chỉ định Cardus marianus
Dùng trong các trường hợp viêm gan, viêm gan virus, gan nhiễm mỡ, xơ gan; 
Rối loạn chức năng gan với các biểu hiện: mệt mỏi, khó ở, chán ăn, ăn uống khó tiêu, vàng da, táo bón; 
Mụn nhọt, trứng cá, lở ngứa ngoài da, dị ứng mãn tính, ...do chức năng thải độc của gan kém; 
Bảo vệ và phục hồi chức năng gan trong các trường hợp nhiễm độc gan do rượu, bia, dùng thuốc độc hại với gan như : kháng sinh, chống lao, chống ung thư, hóa chất, tia xạ...",Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-54298/hepaqueen-gold.aspx
VN-20696-17,Aceclonac,Aceclofenac 100mg,"Chỉ định Aceclofenac
Giảm đau kháng viêm trong các trường hợp: Viêm khớp mạn tính. Viêm khớp dạng thấp. Viêm cứng khớp đốt sống.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-54618/aceclonac.aspx
VD-21887-14,Tithigelron,"Mỗi 10 gam chứa: Clotrimazol 0,1g; Gentamicin sulfat 10.000IU; Betamethason dipropionat 0,0064g","Chỉ định Clotrimazole
Ðiều trị tại chỗ tinea pedis (nấm da chân, nấm kẽ), tinea cruris (nấm bẹn), tinea corporis (nấm da thân, lác đồng tiền) do T. rubrum, T. mentagrophytes, E. floccosum và M. canis; bệnh Candida do C. albicans và tinea versicolor (lang ben) do M. furfur. Thuốc cũng có tác dụng trong một số trường hợp nhiễm trùng da không do vi nấm như erythrasma do Corynebacterium minutissimum.",Kem bôi da,,,https://thuocbietduoc.com.vn/thuoc-48506/tithigelron.aspx
VN-13706-11,Mebaloget Tablet 500mcg,Mecobalamin,"Chỉ định Mecobalamine
Các bệnh lý thần kinh ngoại biên. Thiếu máu hồng cầu to do thiếu vitamin B12.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-40838/mebaloget-tablet-500mcg.aspx
VD-11389-10,Vinaflam 500,Cefuroxim acetil tương đương 500mg Cefuroxim,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",,,,https://thuocbietduoc.com.vn/thuoc-32386/vinaflam-500.aspx
VN-21216-18,Efferalgan,Paracetamol 500mg,"Chỉ định
Hạ sốt, giảm đau cho trẻ trong các trường hợp: cảm, cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật,…",Viên nén sủi bọt,,,https://thuocbietduoc.com.vn/thuoc-59895/efferalgan.aspx
